"session_id","service_id","created_by","updated_by","created_at","updated_at"
bb8d76d8-3f75-45d7-8981-4da68c67edd4,"3b42485d-6b6b-4d4f-b9cf-2ad45596bde5",f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,2023-07-24 10:38:11.648,2023-07-24 10:38:11.648
f1858805-e1b2-4d08-84e9-5ec74b14d26e,"8054c5cc-c1e6-4a0b-a5bc-0fcbc3a49d7f",f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,2023-07-24 10:41:17.613,2023-07-24 10:41:17.613
"9c592bff-329c-4a88-b17d-040bc5bab3fa",a9c72446-d1f8-4466-8ee9-905b47f1a009,"547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-24 11:29:31.305,2023-07-24 11:29:31.305
"31625c5f-5a22-487a-adbb-195057883339","39718829-c72c-4fe6-9c44-2472df782c94",f05d5a9e-c9d1-4d6b-9210-eac93618323d,f05d5a9e-c9d1-4d6b-9210-eac93618323d,2023-07-24 12:17:45.194,2023-07-24 12:17:45.194
"32925615-7173-4573-bb7b-7e6fc758681c","8054c5cc-c1e6-4a0b-a5bc-0fcbc3a49d7f","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-24 12:19:20.466,2023-07-24 12:19:20.466
"5f946952-1d07-4c70-8eff-e3e53517ef2c","9a97ba15-6a6e-4b5b-a3c2-660e2aecd6a5","0187606d-dbb7-4b46-9f99-98c3a1ac125c","0187606d-dbb7-4b46-9f99-98c3a1ac125c",2023-07-24 15:11:39.491,2023-07-24 15:11:39.491
d46817cb-6f0f-4328-a9a1-03f98647ccdc,d6b37bd9-d1c5-4b92-9063-a6c6d3ee2535,"0187606d-dbb7-4b46-9f99-98c3a1ac125c","0187606d-dbb7-4b46-9f99-98c3a1ac125c",2023-07-24 15:12:29.862,2023-07-24 15:12:29.862
ef779385-d4d0-44fd-b846-59b92ac1ee02,"66fb78d7-214c-49dc-958a-53cc10e607dc","0187606d-dbb7-4b46-9f99-98c3a1ac125c","0187606d-dbb7-4b46-9f99-98c3a1ac125c",2023-07-24 15:43:25.636,2023-07-24 15:43:25.636
"1c278ba8-fb50-4a4f-a40c-4f6517c8274b","9a97ba15-6a6e-4b5b-a3c2-660e2aecd6a5","0187606d-dbb7-4b46-9f99-98c3a1ac125c","0187606d-dbb7-4b46-9f99-98c3a1ac125c",2023-07-24 15:45:02.561,2023-07-24 15:45:02.561
"9c6268a6-4f00-4097-8487-d116f87477d8",a9c72446-d1f8-4466-8ee9-905b47f1a009,e33b96a0-4228-47ef-850d-f54caac0134e,e33b96a0-4228-47ef-850d-f54caac0134e,2023-07-24 16:58:02.663,2023-07-24 16:58:02.663
"8d8d43dd-a7ee-40fc-8604-6f1eb8d918dc",a9c72446-d1f8-4466-8ee9-905b47f1a009,"547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-24 17:25:34.013,2023-07-24 17:25:34.013
"186144a6-af72-452c-a477-6a835c47599a","56212596-bd3a-4fdc-91da-8bf57e33f959","034666e9-88fd-49cf-9ec0-922b249f76c5","034666e9-88fd-49cf-9ec0-922b249f76c5",2023-07-24 21:38:18.890,2023-07-24 21:38:18.890
b4d9283f-004f-49a9-b84a-7cea7bd32feb,"932a4774-a045-4f66-af10-8a12edf74c91",ff5f7163-ef6e-43a1-b234-3228df9a0bb8,ff5f7163-ef6e-43a1-b234-3228df9a0bb8,2023-07-24 22:41:11.420,2023-07-24 22:41:11.420
"2952258d-e109-4b35-80f9-74f6c0bd9fcc","0177a83a-8eee-4117-87b0-e5ffc68bc331","1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-08-04 05:39:43.785,2023-08-04 05:39:43.785
"52575ff8-f35c-465a-b017-515fb8d8496a","33c4729d-c4cd-4b16-b6df-3367aeb1ef95","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-08-04 09:58:39.018,2023-08-04 09:58:39.018
"0fb79052-fef5-41fd-8963-137a7856dcca",a9c72446-d1f8-4466-8ee9-905b47f1a009,"547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-25 06:43:00.183,2023-07-25 06:43:00.183
c40ad265-6a6f-400c-9cda-b89f6d3f5ac5,a9c72446-d1f8-4466-8ee9-905b47f1a009,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,2023-07-25 06:47:04.274,2023-07-25 06:47:04.274
"35e9af16-e117-49de-859d-f8821d86a2b5",cf4036db-4739-4f34-8a83-793db5b1a138,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,2023-07-25 06:54:50.404,2023-07-25 06:54:50.404
"38b04729-8033-4da1-94fa-0a07d9e35500","12328e8a-f6ac-4721-962d-972562c4228a","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-25 06:59:18.152,2023-07-25 06:59:18.152
